0,Argentina,19.0,4.57,4.16,4.39,-3.85
1,Australia,4.56,0.97,4.68,1.05,8.15
2,Brazil,10.08,2.04,4.94,2.33,14.06
3,Britain,2.69,0.65,4.16,0.62,-3.82
4,Canada,5.12,1.02,5.02,1.18,16.06
5,Chile,2050.0,493.05,4.16,473.71,-3.92
6,China,15.65,6.39,2.45,3.62,-43.39
7,Colombia,8600.0,1804.48,4.77,1987.29,10.13
8,Costa Rica,1200.0,501.02,2.4,277.3,-44.65
9,Czech Republic,70.33,21.05,3.34,16.25,-22.79
10,Denmark,28.5,6.14,4.65,6.59,7.34
11,Egypt,16.0,6.07,2.64,3.7,-39.05
12,Euro area,3.58,0.82,4.34,0.83,0.39
13,Hong Kong,16.5,7.76,2.13,3.81,-50.85
14,Hungary,830.0,238.22,3.48,191.8,-19.49
15,India,89.0,56.17,1.58,20.57,-63.38
16,Indonesia,24200.0,9482.5,2.55,5592.14,-41.03
17,Israel,11.9,4.08,2.92,2.75,-32.54
18,Japan,320.0,78.22,4.09,73.95,-5.46
19,Latvia,1.69,0.57,2.94,0.39,-32.01
20,Lithuania,7.8,2.85,2.74,1.8,-36.71
21,Malaysia,7.4,3.17,2.33,1.71,-46.12
22,Mexico,37.0,13.69,2.7,8.55,-37.53
23,New Zealand,5.1,1.27,4.0,1.18,-7.46
24,Norway,43.0,6.09,7.06,9.94,63.11
25,Pakistan,285.0,94.61,3.01,65.86,-30.39
26,Peru,,,,,
27,Philippines,118.0,42.2,2.8,27.27,-35.39
28,Poland,9.1,3.46,2.63,2.1,-39.23
29,Russia,75.0,32.77,2.29,17.33,-47.11
30,Saudi Arabia,10.0,3.75,2.67,2.31,-38.38
31,Singapore,4.4,1.26,3.5,1.02,-19.21
32,South Africa,19.95,8.47,2.36,4.61,-45.56
33,South Korea,3700.0,1151.0,3.21,855.0,-25.72
34,Sri Lanka,290.0,131.0,2.21,67.01,-48.84
35,Sweden,39.97,6.98,5.73,9.24,32.38
36,Switzerland,6.5,0.99,6.56,1.5,51.63
37,Taiwan,75.0,30.2,2.48,17.33,-42.6
38,Thailand,82.0,31.7,2.59,18.95,-40.23
39,Turkey,8.25,1.83,4.52,1.91,4.35
40,UAE,12.0,3.67,3.27,2.77,-24.5
41,Ukraine,15.0,8.09,1.86,3.47,-57.13
42,United States,4.33,1.0,4.33,1.0,0.0
43,Uruguay,99.0,21.87,4.53,22.88,4.6
44,Venezuela,34.0,4.29,7.92,7.86,82.94
45,Austria,3.19,0.82,3.87,0.74,-10.63
46,Belgium,3.8,0.82,4.61,0.88,6.46
47,Estonia,2.04,0.82,2.47,0.47,-42.85
48,Finland,3.75,0.82,4.55,0.87,5.06
49,France,3.6,0.82,4.36,0.83,0.85
50,Germany,3.64,0.82,4.41,0.84,1.97
51,Greece,2.68,0.82,3.25,0.62,-24.84
52,Ireland,3.49,0.82,4.23,0.81,-2.23
53,Italy,3.6,0.82,4.36,0.83,0.85
54,Netherlands,3.38,0.82,4.1,0.78,-5.31
55,Portugal,4.95,0.82,6.0,1.14,38.67
56,Spain,3.5,0.82,4.24,0.81,-1.95
