0,Argentina,11.5,3.81,3.02,3.22,-15.48
1,Australia,4.34,1.29,3.37,1.22,-5.53
2,Brazil,8.03,2.0,4.02,2.25,12.63
3,Britain,2.29,0.62,3.69,0.64,-3.21
4,Canada,3.89,1.16,3.35,1.09,-6.13
5,Chile,1750.0,548.55,3.19,490.2,-10.64
6,China,12.5,6.83,1.83,3.5,-48.76
7,Colombia,7000.0,2095.6,3.34,1960.78,-6.43
8,Costa Rica,2000.0,582.57,3.43,560.22,-3.84
9,Czech Republic,67.92,18.66,3.64,19.03,1.95
10,Denmark,29.5,5.34,5.53,8.26,54.82
11,Egypt,13.0,5.58,2.33,3.64,-34.8
12,Euro area,3.31,0.72,4.62,0.93,29.33
13,Hong Kong,13.3,7.75,1.72,3.73,-51.93
14,Hungary,720.0,199.16,3.62,201.68,1.27
15,India,,,,,
16,Indonesia,20900.0,10200.0,2.05,5854.34,-42.6
17,Israel,15.0,3.97,3.77,4.2,5.72
18,Japan,320.0,92.57,3.46,89.64,-3.16
19,Latvia,1.55,0.5,3.09,0.43,-13.46
20,Lithuania,7.1,2.48,2.87,1.99,-19.65
21,Malaysia,6.77,3.6,1.88,1.9,-47.35
22,Mexico,33.0,13.81,2.39,9.24,-33.07
23,New Zealand,4.9,1.59,3.08,1.37,-13.8
24,Norway,40.0,6.51,6.15,11.2,72.13
25,Pakistan,190.0,82.6,2.3,53.22,-35.57
26,Peru,8.06,3.03,2.66,2.26,-25.46
27,Philippines,99.39,48.39,2.05,27.84,-42.46
28,Poland,7.6,3.16,2.41,2.13,-32.53
29,Russia,67.0,32.8,2.04,18.77,-42.77
30,Saudi Arabia,11.0,3.75,2.93,3.08,-17.84
31,Singapore,4.22,1.46,2.88,1.18,-19.28
32,South Africa,17.95,8.28,2.17,5.03,-39.28
33,South Korea,3400.0,1314.5,2.59,952.38,-27.55
34,Sri Lanka,210.0,114.86,1.83,58.82,-48.79
35,Sweden,39.0,7.91,4.93,10.92,38.12
36,Switzerland,6.5,1.09,5.98,1.82,67.65
37,Taiwan,75.0,33.18,2.26,21.01,-36.67
38,Thailand,64.49,34.17,1.89,18.06,-47.13
39,Turkey,5.65,1.55,3.65,1.58,2.1
40,UAE,10.0,3.67,2.72,2.8,-23.74
41,Ukraine,14.0,7.66,1.83,3.92,-48.8
42,United States,3.57,1.0,3.57,1.0,0.0
43,Uruguay,61.0,23.17,2.63,17.09,-26.25
44,Venezuela,,,,,
