0,Argentina,2.5,1.0,2.5,0.98,-1.57
1,Australia,3.0,1.98,1.52,1.18,-40.35
2,Brazil,3.6,2.19,1.64,1.42,-35.28
3,Britain,1.99,0.7,2.85,0.78,12.04
4,Canada,3.33,1.56,2.14,1.31,-15.96
5,Chile,1260.0,601.0,2.1,496.06,-17.46
6,China,9.9,8.28,1.2,3.9,-52.93
7,Colombia,,,,,
8,Costa Rica,,,,,
9,Czech Republic,56.0,39.0,1.43,22.05,-43.47
10,Denmark,24.75,8.46,2.93,9.74,15.18
11,Egypt,,,,,
12,Euro area,2.57,1.14,2.27,1.01,-10.96
13,Hong Kong,10.7,7.8,1.37,4.21,-45.99
14,Hungary,399.0,303.0,1.32,157.09,-48.16
15,India,,,,,
16,Indonesia,14700.0,10855.0,1.35,5787.4,-46.68
17,Israel,,,,,
18,Japan,294.0,124.0,2.38,115.75,-6.65
19,Latvia,,,,,
20,Lithuania,,,,,
21,Malaysia,4.52,3.8,1.19,1.78,-53.17
22,Mexico,21.9,9.29,2.36,8.62,-7.19
23,New Zealand,3.6,2.47,1.46,1.42,-42.62
24,Norway,,,,,
25,Pakistan,,,,,
26,Peru,,,,,
27,Philippines,59.0,50.3,1.17,23.23,-53.82
28,Poland,5.9,4.03,1.46,2.32,-42.36
29,Russia,35.0,28.9,1.21,13.78,-52.32
30,Saudi Arabia,,,,,
31,Singapore,3.3,1.81,1.82,1.3,-28.22
32,South Africa,9.7,8.13,1.19,3.82,-53.03
33,South Korea,3000.0,1325.0,2.27,1181.1,-10.86
34,Sri Lanka,,,,,
35,Sweden,24.0,10.28,2.33,9.45,-8.09
36,Switzerland,6.3,1.73,3.65,2.48,43.37
37,Taiwan,70.0,32.9,2.13,27.56,-16.23
38,Thailand,55.0,45.5,1.21,21.65,-52.41
39,Turkey,,,,,
40,UAE,,,,,
41,Ukraine,,,,,
42,United States,2.54,1.0,2.54,1.0,0.0
43,Uruguay,,,,,
44,Venezuela,,,,,
