0,Argentina,2.5,1.0,2.5,1.0,-0.4
1,Australia,2.59,1.68,1.54,1.03,-38.58
2,Brazil,2.95,1.79,1.65,1.18,-34.34
3,Britain,1.9,0.63,3.0,0.76,19.6
4,Canada,2.85,1.47,1.94,1.14,-22.76
5,Chile,1260.0,514.0,2.45,501.99,-2.34
6,China,9.9,8.28,1.2,3.94,-52.36
7,Colombia,,,,,
8,Costa Rica,,,,,
9,Czech Republic,54.37,39.1,1.39,21.66,-44.6
10,Denmark,24.75,8.04,3.08,9.86,22.64
11,Egypt,,,,,
12,Euro area,2.56,1.08,2.38,1.02,-5.15
13,Hong Kong,10.2,7.79,1.31,4.06,-47.83
14,Hungary,339.0,279.0,1.21,135.06,-51.59
15,India,,,,,
16,Indonesia,14500.0,7945.0,1.83,5776.89,-27.29
17,Israel,14.5,4.05,3.58,5.78,42.64
18,Japan,294.0,106.0,2.78,117.13,10.5
19,Latvia,,,,,
20,Lithuania,,,,,
21,Malaysia,4.52,3.8,1.19,1.8,-52.61
22,Mexico,20.9,9.41,2.22,8.33,-11.51
23,New Zealand,3.4,2.01,1.69,1.35,-32.61
24,Norway,,,,,
25,Pakistan,,,,,
26,Peru,,,,,
27,Philippines,,,,,
28,Poland,5.5,4.3,1.28,2.19,-49.04
29,Russia,39.5,28.5,1.39,15.74,-44.78
30,Saudi Arabia,,,,,
31,Singapore,3.2,1.7,1.88,1.27,-25.01
32,South Africa,9.0,6.72,1.34,3.59,-46.64
33,South Korea,3000.0,1108.0,2.71,1195.22,7.87
34,Sri Lanka,,,,,
35,Sweden,24.0,8.84,2.71,9.56,8.16
36,Switzerland,5.9,1.7,3.48,2.35,38.27
37,Taiwan,70.0,30.6,2.29,27.89,-8.86
38,Thailand,55.0,38.0,1.45,21.91,-42.34
39,Turkey,,,,,
40,UAE,,,,,
41,Ukraine,,,,,
42,United States,2.51,1.0,2.51,1.0,0.0
43,Uruguay,,,,,
44,Venezuela,,,,,
