0,Argentina,4.36,2.95,1.48,1.5,-49.04
1,Australia,3.25,1.43,2.27,1.12,-21.63
2,Brazil,5.4,3.18,1.7,1.86,-41.44
3,Britain,1.88,0.56,3.37,0.65,16.04
4,Canada,3.19,1.37,2.33,1.1,-19.71
5,Chile,1400.0,641.0,2.18,482.76,-24.69
6,China,10.4,8.28,1.26,3.59,-56.69
7,Colombia,6500.0,2769.83,2.35,2241.38,-19.08
8,Costa Rica,1130.0,433.55,2.61,389.66,-10.12
9,Czech Republic,56.42,26.5,2.13,19.46,-26.58
10,Denmark,27.75,6.22,4.46,9.57,53.84
11,Egypt,10.0,6.19,1.62,3.45,-44.29
12,Euro area,2.74,0.83,3.28,0.94,13.38
13,Hong Kong,12.0,7.79,1.54,4.14,-46.88
14,Hungary,530.0,211.0,2.52,182.76,-13.38
15,India,,,,,
16,Indonesia,16100.0,9120.0,1.77,5551.72,-39.13
17,Israel,,,,,
18,Japan,262.0,113.0,2.33,90.34,-20.05
19,Latvia,1.09,0.55,2.0,0.38,-31.14
20,Lithuania,6.5,2.87,2.26,2.24,-21.99
21,Malaysia,5.04,3.8,1.33,1.74,-54.26
22,Mexico,24.0,11.6,2.08,8.28,-28.66
23,New Zealand,4.35,1.64,2.65,1.5,-8.54
24,Norway,35.5,6.85,5.18,12.24,78.73
25,Pakistan,110.0,57.76,1.9,37.93,-34.33
26,Peru,8.99,3.49,2.57,3.1,-11.17
27,Philippines,69.0,55.9,1.23,23.79,-57.44
28,Poland,6.3,3.87,1.63,2.17,-43.87
29,Russia,42.0,29.0,1.45,14.48,-50.06
30,Saudi Arabia,2.4,3.75,0.64,0.83,-77.93
31,Singapore,3.3,1.71,1.92,1.14,-33.45
32,South Africa,12.4,6.66,1.86,4.28,-35.8
33,South Korea,3200.0,1177.0,2.72,1103.45,-6.25
34,Sri Lanka,140.0,99.0,1.41,48.28,-51.24
35,Sweden,30.0,7.61,3.94,10.34,35.94
36,Switzerland,6.3,1.29,4.9,2.17,68.4
37,Taiwan,75.0,33.4,2.24,25.86,-22.57
38,Thailand,59.0,40.8,1.45,20.34,-50.14
39,Turkey,3950000.0,1531000.0,2.58,1362068.97,-11.03
40,UAE,,,,,
41,Ukraine,7.25,5.33,1.36,2.5,-53.11
42,United States,2.9,1.0,2.9,1.0,0.0
43,Uruguay,29.8,29.74,1.0,10.28,-65.44
44,Venezuela,4400.0,2977.0,1.48,1517.24,-49.03
