0,Argentina,4.75,2.9,1.64,1.55,-46.42
1,Australia,3.25,1.3,2.5,1.06,-18.39
2,Brazil,5.9,2.46,2.39,1.93,-21.77
3,Britain,1.88,0.55,3.44,0.61,12.43
4,Canada,3.28,1.25,2.63,1.07,-14.21
5,Chile,1500.0,592.45,2.53,490.2,-17.26
6,China,10.5,8.28,1.27,3.43,-58.54
7,Colombia,6500.0,2327.7,2.79,2124.18,-8.74
8,Costa Rica,1130.0,475.3,2.38,369.28,-22.31
9,Czech Republic,56.42,24.54,2.3,18.44,-24.87
10,Denmark,27.75,6.06,4.58,9.07,49.53
11,Egypt,9.0,5.8,1.55,2.94,-49.29
12,Euro area,2.92,0.81,3.58,0.95,17.1
13,Hong Kong,12.0,7.78,1.54,3.92,-49.6
14,Hungary,530.0,203.64,2.6,173.2,-14.95
15,India,,,,,
16,Indonesia,14600.0,9545.0,1.53,4771.24,-50.01
17,Israel,,,,,
18,Japan,250.0,106.72,2.34,81.7,-23.44
19,Latvia,1.09,0.57,1.92,0.36,-37.19
20,Lithuania,6.5,2.81,2.31,2.12,-24.49
21,Malaysia,5.25,3.8,1.38,1.72,-54.85
22,Mexico,28.0,10.87,2.58,9.15,-15.8
23,New Zealand,4.45,1.4,3.17,1.45,3.7
24,Norway,39.0,6.43,6.06,12.75,98.13
25,Pakistan,130.0,59.62,2.18,42.48,-28.74
26,Peru,8.99,3.25,2.76,2.94,-9.73
27,Philippines,80.0,54.55,1.47,26.14,-52.07
28,Poland,6.5,3.31,1.96,2.12,-35.82
29,Russia,42.0,28.41,1.48,13.73,-51.68
30,Saudi Arabia,9.0,3.75,2.4,2.94,-21.57
31,Singapore,3.6,1.66,2.17,1.18,-29.16
32,South Africa,13.95,6.65,2.1,4.56,-31.43
33,South Korea,2500.0,1005.5,2.49,816.99,-18.75
34,Sri Lanka,175.0,99.95,1.75,57.19,-42.78
35,Sweden,31.0,7.44,4.17,10.13,36.16
36,Switzerland,6.3,1.25,5.05,2.06,65.04
37,Taiwan,75.0,31.18,2.41,24.51,-21.38
38,Thailand,60.0,40.53,1.48,19.61,-51.62
39,Turkey,4.0,1.37,2.92,1.31,-4.52
40,UAE,9.0,3.67,2.45,2.94,-19.91
41,Ukraine,7.25,5.06,1.43,2.37,-53.18
42,United States,3.06,1.0,3.06,1.0,0.0
43,Uruguay,44.0,24.13,1.82,14.38,-40.4
44,Venezuela,5600.0,2629.62,2.13,1830.07,-30.41
