0,Argentina,8.25,3.09,2.67,2.56,-17.05
1,Australia,3.45,1.27,2.72,1.07,-15.43
2,Brazil,6.4,2.13,3.0,1.99,-6.84
3,Britain,1.94,0.51,3.83,0.6,19.06
4,Canada,3.63,1.17,3.09,1.13,-4.04
5,Chile,1670.0,540.15,3.09,518.63,-3.98
6,China,11.0,7.77,1.41,3.42,-56.06
7,Colombia,6900.0,2239.33,3.08,2142.86,-4.31
8,Costa Rica,1130.0,509.54,2.22,350.93,-31.13
9,Czech Republic,52.1,21.5,2.42,16.18,-24.75
10,Denmark,27.75,5.75,4.82,8.62,49.8
11,Egypt,9.09,5.7,1.59,2.82,-50.47
12,Euro area,2.94,0.77,3.81,0.91,18.3
13,Hong Kong,12.0,7.8,1.54,3.73,-52.21
14,Hungary,590.0,194.42,3.03,183.23,-5.76
15,India,,,,,
16,Indonesia,15900.0,9090.0,1.75,4937.89,-45.68
17,Israel,,,,,
18,Japan,280.0,121.59,2.3,86.96,-28.48
19,Latvia,1.35,0.55,2.47,0.42,-23.44
20,Lithuania,6.5,2.69,2.41,2.02,-25.08
21,Malaysia,5.5,3.5,1.57,1.71,-51.23
22,Mexico,29.0,10.89,2.66,9.01,-17.29
23,New Zealand,4.6,1.43,3.22,1.43,0.04
24,Norway,41.5,6.1,6.8,12.89,111.2
25,Pakistan,140.0,60.06,2.33,43.48,-27.6
26,Peru,9.5,3.19,2.98,2.95,-7.5
27,Philippines,85.0,49.05,1.73,26.4,-46.18
28,Poland,6.9,2.97,2.32,2.14,-27.89
29,Russia,49.0,26.53,1.85,15.22,-42.65
30,Saudi Arabia,9.0,3.75,2.4,2.8,-25.45
31,Singapore,3.6,1.54,2.34,1.12,-27.31
32,South Africa,15.5,7.11,2.18,4.81,-32.29
33,South Korea,2900.0,940.15,3.08,900.62,-4.2
34,Sri Lanka,190.0,102.96,1.85,59.01,-42.69
35,Sweden,32.0,7.04,4.54,9.94,41.14
36,Switzerland,6.3,1.25,5.05,1.96,56.71
37,Taiwan,75.0,32.93,2.28,23.29,-29.26
38,Thailand,62.0,35.3,1.76,19.25,-45.45
39,Turkey,4.55,1.41,3.23,1.41,0.23
40,UAE,10.0,3.67,2.72,3.11,-15.44
41,Ukraine,9.0,5.05,1.78,2.8,-44.65
42,United States,3.22,1.0,3.22,1.0,0.0
43,Uruguay,55.0,23.93,2.3,17.08,-28.61
44,Venezuela,6800.0,4125.28,1.65,2111.8,-48.81
