COUNTRY,Country,SERIES,Series,PERIOD,Pay period,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
BRA,Brazil,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,1.015932,,
BRA,Brazil,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2007,2007,USD,US Dollar,0,Units,,,1.0818932,,
BRA,Brazil,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2008,2008,USD,US Dollar,0,Units,,,1.1245307,,
BRA,Brazil,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2009,2009,USD,US Dollar,0,Units,,,1.2075052,,
BRA,Brazil,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2010,2010,USD,US Dollar,0,Units,,,1.2722307,,
BRA,Brazil,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2011,2011,USD,US Dollar,0,Units,,,1.272982,,
BRA,Brazil,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2012,2012,USD,US Dollar,0,Units,,,1.3804652,,
BRA,Brazil,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2013,2013,USD,US Dollar,0,Units,,,1.4168456,,
BRA,Brazil,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2014,2014,USD,US Dollar,0,Units,,,1.4229153,,
BRA,Brazil,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2015,2015,USD,US Dollar,0,Units,,,1.4204353,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2000,2000,USD,US Dollar,0,Units,,,6.5476886,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2001,2001,USD,US Dollar,0,Units,,,6.7705037,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2002,2002,USD,US Dollar,0,Units,,,7.2687511,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2003,2003,USD,US Dollar,0,Units,,,7.4305174,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2004,2004,USD,US Dollar,0,Units,,,7.8628645,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2005,2005,USD,US Dollar,0,Units,,,8.2283477,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,8.4029159,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2007,2007,USD,US Dollar,0,Units,,,8.6274176,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2008,2008,USD,US Dollar,0,Units,,,8.6155893,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2009,2009,USD,US Dollar,0,Units,,,8.7219989,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2010,2010,USD,US Dollar,0,Units,,,8.6274176,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2011,2011,USD,US Dollar,0,Units,,,8.5042406,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2012,2012,USD,US Dollar,0,Units,,,8.4860783,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2013,2013,USD,US Dollar,0,Units,,,8.445317,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2014,2014,USD,US Dollar,0,Units,,,8.5140233,,
GBR,Britain,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2015,2015,USD,US Dollar,0,Units,,,8.7332996,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2000,2000,USD,US Dollar,0,Units,,,7.0285451,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2001,2001,USD,US Dollar,0,Units,,,6.9479393,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2002,2002,USD,US Dollar,0,Units,,,6.874901,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2003,2003,USD,US Dollar,0,Units,,,6.7783745,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2004,2004,USD,US Dollar,0,Units,,,6.789218,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2005,2005,USD,US Dollar,0,Units,,,6.8488773,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,6.9999777,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2007,2007,USD,US Dollar,0,Units,,,7.0698491,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2008,2008,USD,US Dollar,0,Units,,,7.355407,,
