0,Argentina,11.0,3.02,3.64,3.08,2.04
1,Australia,3.45,1.03,3.36,0.97,-5.81
2,Brazil,7.5,1.58,4.73,2.1,32.58
3,Britain,2.29,0.5,4.57,0.64,28.03
4,Canada,4.09,1.0,4.08,1.15,14.16
5,Chile,1550.0,494.65,3.13,434.17,-12.23
6,China,12.5,6.83,1.83,3.5,-48.76
7,Colombia,7000.0,1798.65,3.89,1960.78,9.01
8,Costa Rica,1800.0,551.02,3.27,504.2,-8.5
9,Czech Republic,66.08,14.5,4.56,18.51,27.67
10,Denmark,28.0,4.7,5.95,7.84,66.72
11,Egypt,13.0,5.31,2.45,3.64,-31.45
12,Euro area,3.37,0.63,5.34,0.94,49.66
13,Hong Kong,13.3,7.8,1.71,3.73,-52.22
14,Hungary,670.0,144.26,4.64,187.68,30.1
15,India,,,,,
16,Indonesia,18700.0,9152.0,2.04,5238.1,-42.77
17,Israel,,,,,
18,Japan,280.0,106.86,2.62,78.43,-26.6
19,Latvia,1.55,0.44,3.5,0.43,-2.06
20,Lithuania,6.9,2.18,3.17,1.93,-11.22
21,Malaysia,5.5,3.24,1.7,1.54,-52.42
22,Mexico,32.0,10.17,3.15,8.96,-11.85
23,New Zealand,4.9,1.32,3.72,1.37,4.16
24,Norway,40.0,5.08,7.88,11.2,120.6
25,Pakistan,140.0,70.9,1.97,39.22,-44.69
26,Peru,9.5,2.84,3.35,2.66,-6.3
27,Philippines,87.0,44.49,1.96,24.37,-45.22
28,Poland,7.0,2.03,3.45,1.96,-3.48
29,Russia,59.0,23.23,2.54,16.53,-28.87
30,Saudi Arabia,10.0,3.75,2.67,2.8,-25.29
31,Singapore,3.95,1.35,2.92,1.11,-18.21
32,South Africa,16.95,7.56,2.24,4.75,-37.22
33,South Korea,3200.0,1018.05,3.14,896.36,-11.95
34,Sri Lanka,210.0,107.55,1.95,58.82,-45.31
35,Sweden,38.0,5.96,6.37,10.64,78.57
36,Switzerland,6.5,1.02,6.36,1.82,78.13
37,Taiwan,75.0,30.36,2.47,21.01,-30.81
38,Thailand,62.0,33.36,1.86,17.37,-47.94
39,Turkey,5.15,1.19,4.32,1.44,20.95
40,UAE,10.0,3.67,2.72,2.8,-23.73
41,Ukraine,11.0,4.6,2.39,3.08,-33.02
42,United States,3.57,1.0,3.57,1.0,0.0
43,Uruguay,61.0,19.15,3.19,17.09,-10.77
44,Venezuela,,,,,
