0,Argentina,28.0,8.61,3.25,5.85,-32.11
1,Australia,5.3,1.23,4.32,1.11,-9.84
2,Brazil,13.5,2.59,5.21,2.82,8.7
3,Britain,2.89,0.66,4.37,0.6,-8.81
4,Canada,5.7,1.23,4.64,1.19,-3.14
5,Chile,2100.0,627.49,3.35,438.41,-30.13
6,China,17.2,6.21,2.77,3.59,-42.19
7,Colombia,7900.0,2364.98,3.34,1649.27,-30.26
8,Costa Rica,2150.0,536.09,4.01,448.85,-16.27
9,Czech Republic,70.45,24.13,2.92,14.71,-39.06
10,Denmark,34.5,6.42,5.38,7.2,12.23
11,Egypt,16.93,7.35,2.3,3.53,-51.91
12,Euro area,3.68,0.86,4.26,0.77,-10.98
13,Hong Kong,18.8,7.75,2.43,3.92,-49.37
14,Hungary,860.0,271.39,3.17,179.54,-33.84
15,India,116.25,61.62,1.89,24.27,-60.61
16,Indonesia,27939.0,12480.0,2.24,5832.78,-53.26
17,Israel,17.5,3.93,4.45,3.65,-7.14
18,Japan,370.0,117.77,3.14,77.24,-34.41
19,Malaysia,7.63,3.62,2.11,1.59,-55.94
20,Mexico,49.0,14.63,3.35,10.23,-30.07
21,New Zealand,5.9,1.31,4.49,1.23,-6.21
22,Norway,48.0,7.62,6.3,10.02,31.46
23,Pakistan,300.0,100.74,2.98,62.63,-37.83
24,Peru,10.0,3.01,3.32,2.09,-30.6
25,Philippines,163.0,44.41,3.67,34.03,-23.37
26,Poland,9.2,3.71,2.48,1.92,-48.18
27,Russia,89.0,65.23,1.36,18.58,-71.51
28,Saudi Arabia,11.0,3.76,2.93,2.3,-38.87
29,Singapore,4.7,1.33,3.53,0.98,-26.4
30,South Africa,25.5,11.48,2.22,5.32,-53.62
31,South Korea,4100.0,1083.3,3.78,855.95,-20.99
32,Sri Lanka,350.0,131.88,2.65,73.07,-44.59
33,Sweden,40.7,8.19,4.97,8.5,3.73
34,Switzerland,6.5,0.86,7.54,1.36,57.49
35,Taiwan,79.0,31.49,2.51,16.49,-47.63
36,Thailand,99.0,32.61,3.04,20.67,-36.61
37,Turkey,9.25,2.33,3.96,1.93,-17.24
38,UAE,13.0,3.67,3.54,2.71,-26.11
39,Ukraine,19.0,15.82,1.2,3.97,-74.93
40,United States,4.79,1.0,4.79,1.0,0.0
41,Uruguay,113.0,24.43,4.63,23.59,-3.42
42,Venezuela,132.0,52.1,2.53,27.56,-47.11
43,Vietnam,60000.0,21380.0,2.81,12526.1,-41.41
44,Austria,3.39,0.86,3.93,0.71,-18.0
45,Belgium,3.7,0.86,4.29,0.77,-10.5
46,Estonia,2.9,0.86,3.36,0.61,-29.85
47,Finland,4.1,0.86,4.75,0.86,-0.83
48,France,3.9,0.86,4.52,0.81,-5.66
49,Germany,3.67,0.86,4.25,0.77,-11.23
50,Greece,3.05,0.86,3.53,0.64,-26.22
51,Ireland,3.49,0.86,4.04,0.73,-15.58
52,Italy,3.85,0.86,4.46,0.8,-6.87
53,Netherlands,3.45,0.86,4.0,0.72,-16.55
54,Portugal,3.0,0.86,3.48,0.63,-27.43
55,Spain,3.65,0.86,4.23,0.76,-11.71
56,,,,,,
