0,Argentina,7.0,3.8,1.84,1.96,-48.52
1,Australia,4.35,1.09,3.98,1.22,11.11
2,Brazil,8.2,1.72,4.76,2.29,32.91
3,Britain,2.29,0.62,3.67,0.64,2.55
4,Canada,4.12,1.04,3.97,1.15,11.0
5,Chile,1600.0,503.1,3.18,446.93,-11.17
6,China,12.5,6.83,1.83,3.49,-48.86
7,Colombia,8200.0,2095.6,3.91,2296.92,9.61
8,Costa Rica,2050.0,582.57,3.52,574.23,-1.43
9,Czech Republic,67.64,18.21,3.71,18.89,3.76
10,Denmark,30.94,5.16,5.99,8.64,67.43
11,Egypt,13.0,5.47,2.38,3.63,-33.55
12,Euro area,3.36,0.69,4.84,0.94,35.31
13,Hong Kong,14.8,7.76,1.91,4.13,-46.7
14,Hungary,720.0,186.65,3.86,201.12,7.75
15,India,,,,,
16,Indonesia,20900.0,9320.0,2.24,5837.99,-37.36
17,Israel,14.9,3.73,3.99,4.16,11.51
18,Japan,320.0,91.54,3.5,89.39,-2.35
19,Latvia,1.55,0.5,3.09,0.43,-13.46
20,Lithuania,7.1,2.48,2.87,1.99,-19.65
21,Malaysia,7.05,3.39,2.08,1.97,-41.87
22,Mexico,32.0,12.81,2.5,8.94,-30.24
23,New Zealand,4.9,1.36,3.61,1.37,0.87
24,Norway,40.0,5.7,7.02,11.17,96.17
25,Pakistan,200.0,82.6,2.42,56.02,-32.18
26,Peru,8.06,2.87,2.81,2.25,-21.61
27,Philippines,101.52,45.92,2.21,28.36,-38.25
28,Poland,8.1,2.84,2.86,2.26,-20.21
29,Russia,70.0,29.93,2.34,19.55,-34.66
30,Saudi Arabia,10.0,3.75,2.67,2.79,-25.52
31,Singapore,4.45,1.4,3.19,1.24,-10.93
32,South Africa,17.95,7.3,2.46,5.01,-31.36
33,South Korea,3400.0,1140.5,2.98,949.72,-16.73
34,Sri Lanka,210.0,114.86,1.83,58.82,-48.79
35,Sweden,39.0,7.08,5.51,10.89,53.82
36,Switzerland,6.5,1.03,6.3,1.82,76.08
37,Taiwan,75.0,31.84,2.36,20.95,-34.21
38,Thailand,70.0,33.14,2.11,19.55,-40.99
39,Turkey,5.65,1.47,3.83,1.58,7.03
40,UAE,11.0,3.67,2.99,3.07,-16.35
41,Ukraine,14.0,7.66,1.83,3.92,-48.8
42,United States,3.58,1.0,3.58,1.0,0.0
43,Uruguay,77.0,23.17,3.32,21.57,-6.91
44,Venezuela,,,,,
