0,Argentina,21.0,5.41,3.88,4.61,-14.85
1,Australia,5.035,1.09,4.62,1.1,1.39
2,Brazil,12.0,2.27,5.28,2.63,15.98
3,Britain,2.69,0.67,4.02,0.59,-11.78
4,Canada,5.53,1.05,5.26,1.21,15.44
5,Chile,2000.0,508.16,3.94,438.92,-13.63
6,China,16.0,6.13,2.61,3.51,-42.76
7,Colombia,8600.0,1921.0,4.48,1887.34,-1.75
8,Costa Rica,2150.0,498.68,4.31,471.84,-5.38
9,Czech Republic,70.45,20.18,3.49,15.46,-23.4
10,Denmark,28.5,5.8,4.91,6.25,7.83
11,Egypt,16.75,7.01,2.39,3.68,-47.56
12,Euro area,3.6238704889999998,0.78,4.66,0.8,2.25
13,Hong Kong,17.0,7.76,2.19,3.73,-51.9
14,Hungary,860.0,228.46,3.76,188.73,-17.39
15,India,90.0,59.98,1.5,19.75,-67.07
16,Indonesia,27939.0,9965.0,2.8,6131.46,-38.47
17,Israel,17.5,3.65,4.8,3.84,5.34
18,Japan,320.0,100.11,3.2,70.23,-29.85
19,Latvia,1.69,0.55,3.09,0.37,-32.12
20,Lithuania,8.6,2.69,3.2,1.89,-29.72
21,Malaysia,7.3,3.18,2.3,1.6,-49.63
22,Mexico,37.0,12.94,2.86,8.12,-37.25
23,New Zealand,5.5,1.28,4.3,1.21,-5.65
24,Norway,46.0,6.13,7.51,10.1,64.73
25,Pakistan,300.0,100.04,3.0,65.84,-34.19
26,Peru,10.0,2.78,3.59,2.19,-21.14
27,Philippines,115.21,43.44,2.65,25.28,-41.8
28,Poland,9.2,3.37,2.73,2.02,-40.01
29,Russia,87.0,32.94,2.64,19.09,-42.04
30,Saudi Arabia,10.0,3.75,2.67,2.19,-41.48
31,Singapore,4.7,1.27,3.69,1.03,-19.08
32,South Africa,22.5,10.05,2.24,4.94,-50.85
33,South Korea,3900.0,1135.7,3.43,855.89,-24.64
34,Sri Lanka,370.0,130.8,2.83,81.2,-37.92
35,Sweden,41.61,6.76,6.16,9.13,35.12
36,Switzerland,6.5,0.97,6.72,1.43,47.46
37,Taiwan,79.0,30.03,2.63,17.34,-42.26
38,Thailand,89.0,31.28,2.85,19.53,-37.55
39,Turkey,8.5,1.96,4.34,1.87,-4.7
40,UAE,12.0,3.67,3.27,2.63,-28.3
41,Ukraine,19.0,8.16,2.33,4.17,-48.87
42,United States,4.56,1.0,4.56,1.0,0.0
43,Uruguay,105.0,21.09,4.98,23.04,9.29
44,Venezuela,45.0,6.29,7.15,9.88,56.95
45,Austria,3.39,0.78,4.36,0.74,-4.34
46,Belgium,3.7,0.78,4.76,0.81,4.4
47,Estonia,2.75,0.78,3.54,0.6,-22.4
48,Finland,4.1,0.78,5.27,0.9,15.69
49,France,3.9,0.78,5.01,0.86,10.05
50,Germany,3.64,0.78,4.68,0.8,2.71
51,Greece,2.6,0.78,3.34,0.57,-26.64
52,Ireland,3.46,0.78,4.45,0.76,-2.37
53,Italy,3.75,0.78,4.82,0.82,5.81
54,Netherlands,3.45,0.78,4.44,0.76,-2.65
55,Portugal,2.95,0.78,3.79,0.65,-16.76
56,Spain,3.5,0.78,4.5,0.77,-1.24
