Australia,3.25,1.33
Brazil,6.2,2.26
Britain,1.88,0.57
Canada,3.52,1.17
Chile,1560.0,522.75
Czech Republic,62.0,23.84
Hungary,560.0,206.96
Japan,250.0,114.31
Mexico,28.0,10.54
New Zealand,4.45,1.45
Poland,6.5,3.12
Russia,46.0,28.67
South Korea,2500.0,977.45
United States,3.15,1.0
