Australia,4.56,0.92
Brazil,9.5,1.54
Britain,2.39,0.61
Canada,4.73,0.95
Chile,1850.0,462.75
Czech Republic,69.32,17.02
Hungary,760.0,188.07
Japan,320.0,78.37
Mexico,32.0,11.67
New Zealand,5.1,1.16
Poland,8.63,2.8
Russia,75.0,27.75
South Korea,3700.0,1056.2
United States,4.07,1.0
