0,Argentina,20.0,4.13,4.84,4.92,19.06
1,Australia,4.56,0.92,4.94,1.12,21.62
2,Brazil,9.5,1.54,6.16,2.34,51.6
3,Britain,2.39,0.61,3.89,0.59,-4.26
4,Canada,4.73,0.95,5.0,1.16,23.02
5,Chile,1850.0,462.75,4.0,455.1,-1.65
6,China,14.65,6.45,2.27,3.6,-44.08
7,Colombia,8400.0,1770.5,4.74,2066.42,16.71
8,Costa Rica,2050.0,504.31,4.07,504.31,0.0
9,Czech Republic,69.32,17.02,4.07,17.05,0.18
10,Denmark,28.5,5.2,5.48,7.01,34.87
11,Egypt,14.09,5.96,2.36,3.47,-41.86
12,Euro area,3.44,0.7,4.93,0.85,21.24
13,Hong Kong,15.1,7.79,1.94,3.71,-52.33
14,Hungary,760.0,188.07,4.04,186.96,-0.59
15,India,84.0,44.4,1.89,20.66,-53.46
16,Indonesia,22534.0,8523.0,2.64,5543.42,-34.96
17,Israel,15.9,3.4,4.67,3.91,14.93
18,Japan,320.0,78.37,4.08,78.72,0.45
19,Latvia,1.6,0.49,3.23,0.39,-20.44
20,Lithuania,7.3,2.41,3.03,1.8,-25.44
21,Malaysia,7.2,2.97,2.42,1.77,-40.42
22,Mexico,32.0,11.67,2.74,7.87,-32.55
23,New Zealand,5.1,1.16,4.41,1.25,8.52
24,Norway,45.0,5.41,8.31,11.07,104.47
25,Pakistan,205.13,86.35,2.38,50.46,-41.56
26,Peru,10.0,2.74,3.65,2.46,-10.14
27,Philippines,118.0,42.41,2.78,29.03,-31.55
28,Poland,8.63,2.8,3.09,2.12,-24.09
29,Russia,75.0,27.75,2.7,18.45,-33.52
30,Saudi Arabia,10.0,3.75,2.67,2.46,-34.4
31,Singapore,4.41,1.21,3.65,1.08,-10.12
32,South Africa,19.45,6.77,2.87,4.78,-29.31
33,South Korea,3700.0,1056.2,3.5,910.21,-13.82
34,Sri Lanka,280.0,109.48,2.56,68.88,-37.08
35,Sweden,48.4,6.34,7.64,11.91,87.94
36,Switzerland,6.5,0.81,8.06,1.6,98.35
37,Taiwan,75.0,28.83,2.6,18.45,-36.01
38,Thailand,70.0,29.75,2.35,17.22,-42.12
39,Turkey,6.5,1.72,3.77,1.6,-7.19
40,UAE,12.0,3.67,3.27,2.95,-19.63
41,Ukraine,16.5,7.99,2.06,4.06,-49.22
42,United States,4.07,1.0,4.07,1.0,0.0
43,Uruguay,90.0,18.45,4.88,22.14,20.0
44,Venezuela,28.0,4.29,6.52,6.89,60.39
45,Austria,3.09,0.7,4.43,0.76,8.98
46,Belgium,3.75,0.7,5.38,0.92,32.26
47,Estonia,2.2,0.7,3.15,0.54,-22.41
48,Finland,3.75,0.7,5.38,0.92,32.26
49,France,3.5,0.7,5.02,0.86,23.44
50,Germany,3.4,0.7,4.87,0.84,19.91
51,Greece,3.26,0.7,4.67,0.8,14.97
52,Ireland,3.8,0.7,5.45,0.93,34.02
53,Italy,3.5,0.7,5.02,0.86,23.44
54,Netherlands,3.25,0.7,4.66,0.8,14.62
55,Portugal,2.9,0.7,4.16,0.71,2.28
56,Spain,3.5,0.7,5.02,0.86,23.44
