0,Argentina,4.1,2.88,1.4,1.51,-47.47
1,Australia,3.0,1.61,1.8,1.11,-31.24
2,Brazil,4.55,3.07,1.44,1.68,-45.31
3,Britain,1.99,0.63,3.08,0.73,16.02
4,Canada,3.2,1.45,2.17,1.18,-18.56
5,Chile,1400.0,716.0,1.95,516.61,-27.85
6,China,9.9,8.28,1.2,3.65,-55.88
7,Colombia,,,,,
8,Costa Rica,,,,,
9,Czech Republic,56.57,28.9,1.91,20.87,-27.77
10,Denmark,27.75,6.78,3.99,10.24,51.03
11,Egypt,8.0,5.92,1.38,2.95,-50.13
12,Euro area,2.71,0.91,2.98,1.0,10.0
13,Hong Kong,11.5,7.8,1.47,4.24,-45.6
14,Hungary,490.0,224.0,2.14,180.81,-19.28
15,India,,,,,
16,Indonesia,16100.0,8740.0,1.81,5940.96,-32.03
17,Israel,,,,,
18,Japan,262.0,120.0,2.18,96.68,-19.43
19,Latvia,,,,,
20,Lithuania,,,,,
21,Malaysia,5.04,3.8,1.33,1.86,-51.06
22,Mexico,23.0,10.53,2.14,8.49,-19.4
23,New Zealand,3.95,1.78,2.15,1.46,-18.11
24,Norway,,,,,
25,Pakistan,,,,,
26,Peru,7.9,3.46,2.28,2.92,-15.75
27,Philippines,65.0,52.5,1.23,23.99,-54.31
28,Poland,6.3,3.89,1.56,2.32,-40.24
29,Russia,41.0,31.1,1.31,15.13,-51.35
30,Saudi Arabia,,,,,
31,Singapore,3.3,1.78,1.85,1.22,-31.59
32,South Africa,13.95,7.56,1.74,5.15,-31.91
33,South Korea,3300.0,1220.0,2.63,1217.71,-0.19
34,Sri Lanka,,,,,
35,Sweden,30.0,8.34,3.5,11.07,32.74
36,Switzerland,6.3,1.37,4.52,2.32,69.69
37,Taiwan,70.0,34.8,2.01,25.83,-25.78
38,Thailand,59.0,42.7,1.37,21.77,-49.01
39,Turkey,3750000.0,1600500.0,2.28,1383763.84,-13.54
40,UAE,,,,,
41,Ukraine,,,,,
42,United States,2.71,1.0,2.71,1.0,0.0
43,Uruguay,,,,,
44,Venezuela,3700.0,1598.0,2.32,1365.31,-14.56
